2025-08-08 11:10:16,546 [INFO] fetch_kline.py:82 筛选得到 3259 只股票
2025-08-08 11:10:16,548 [INFO] fetch_kline.py:331 开始抓取 3259 支股票 | 数据源:akshare | 频率:day | 日期:20250101 → 20250808
2025-08-08 11:11:05,630 [WARNING] fetch_kline.py:164 AKShare 拉取 002307 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:11:05,846 [WARNING] fetch_kline.py:164 AKShare 拉取 002311 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:11:05,937 [WARNING] fetch_kline.py:164 AKShare 拉取 002312 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:11:06,886 [WARNING] fetch_kline.py:164 AKShare 拉取 002313 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:11:06,910 [WARNING] fetch_kline.py:164 AKShare 拉取 002309 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:11:07,165 [WARNING] fetch_kline.py:164 AKShare 拉取 002311 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:11:07,459 [WARNING] fetch_kline.py:164 AKShare 拉取 002310 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:11:07,904 [WARNING] fetch_kline.py:164 AKShare 拉取 002314 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:11:07,939 [WARNING] fetch_kline.py:164 AKShare 拉取 002312 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:11:08,104 [WARNING] fetch_kline.py:164 AKShare 拉取 002313 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:11:09,111 [WARNING] fetch_kline.py:164 AKShare 拉取 002307 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:11:09,386 [WARNING] fetch_kline.py:164 AKShare 拉取 002315 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:11:09,390 [WARNING] fetch_kline.py:164 AKShare 拉取 002317 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:11:09,643 [WARNING] fetch_kline.py:164 AKShare 拉取 002320 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:11:09,646 [WARNING] fetch_kline.py:164 AKShare 拉取 002314 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:11:10,062 [WARNING] fetch_kline.py:164 AKShare 拉取 002311 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:11:10,414 [WARNING] fetch_kline.py:164 AKShare 拉取 002309 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:11:10,894 [WARNING] fetch_kline.py:164 AKShare 拉取 002310 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:11:10,992 [WARNING] fetch_kline.py:164 AKShare 拉取 002320 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:11:11,173 [WARNING] fetch_kline.py:164 AKShare 拉取 002317 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:11:11,198 [WARNING] fetch_kline.py:164 AKShare 拉取 002313 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:11:11,388 [WARNING] fetch_kline.py:164 AKShare 拉取 002315 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:11:12,016 [WARNING] fetch_kline.py:164 AKShare 拉取 002312 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:11:12,838 [WARNING] fetch_kline.py:164 AKShare 拉取 002314 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:11:13,175 [WARNING] fetch_kline.py:164 AKShare 拉取 002321 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
